"Date","Track_100","Pred_100","Track_20","Pred_20","Track_200","Pred_200","Track_50","Pred_50","Track_500","Pred_500","Station"
"2014-10-17 05:26:30",168,0.181151903717289,NA,NA,168,0.232083437729757,NA,NA,168,0.213621778422047,"I1"
"2014-11-10 05:26:16",168,0.182836514663826,NA,NA,168,0.21486618673099,NA,NA,168,0.207240402416646,"I1"
"2015-05-29 17:06:43",NA,NA,NA,NA,NA,NA,NA,NA,117,0.192772107553137,"I1"
"2015-06-02 05:26:31",NA,NA,NA,NA,NA,NA,NA,NA,168,0.202813570212129,"I1"
"2015-06-03 17:14:51",NA,NA,NA,NA,NA,NA,NA,NA,15,0.191928170840383,"I1"
"2015-06-10 17:06:44",NA,NA,NA,NA,NA,NA,NA,NA,117,0.199519650972671,"I1"
"2015-06-14 05:26:42",NA,NA,NA,NA,NA,NA,NA,NA,168,0.209627424696714,"I1"
"2015-06-15 17:14:51",NA,NA,NA,NA,NA,NA,NA,NA,15,0.198361288374125,"I1"
"2015-06-22 17:06:45",NA,NA,NA,NA,NA,NA,NA,NA,117,0.161295286299679,"I1"
"2015-06-26 05:26:42",NA,NA,NA,NA,NA,NA,NA,NA,168,0.174346218294312,"I1"
"2015-06-27 17:14:52",NA,NA,NA,NA,NA,NA,NA,NA,15,0.171052299054854,"I1"
"2015-08-25 05:26:45",NA,NA,NA,NA,168,0.313664358304912,NA,NA,168,0.170739989563522,"I1"
"2015-08-26 17:14:54",NA,NA,NA,NA,15,0.2630033539303,NA,NA,15,0.158794412465466,"I1"
"2015-09-30 05:26:46",168,0.263451200477912,168,0.23329579576695,168,0.262097697360236,168,0.23724225732774,NA,NA,"I1"
"2015-10-01 17:14:55",15,0.253777903273883,15,0.207446038725244,15,0.275365450745954,15,0.21944514283238,NA,NA,"I1"
"2015-10-12 05:26:46",168,0.260818016173178,168,0.213154032425823,168,0.297830935240711,168,0.220587833338326,168,0.177610774365522,"I1"
"2015-10-13 17:14:55",15,0.250238954979026,15,0.212497894859537,15,0.27513573997722,15,0.215906194537523,15,0.199952819355258,"I1"
"2015-10-20 17:06:54",117,0.201796221040367,117,0.178219101849214,117,0.229574303526674,117,0.213392136275939,117,0.248992612536506,"I1"
"2015-10-24 05:26:40",168,0.141807825806735,168,0.154605453548352,168,0.172091984747066,168,0.173566510538997,168,0.198518672190321,"I1"
