Date;Track;SM;Coordinates
2015-10-01 17:14:55;15;24.529264819747443;(10.5798452, 46.6862577)
2015-10-13 17:14:55;15;24.951921550472143;(10.5798452, 46.6862577)
2015-10-25 17:14:55;15;20.6608636955823;(10.5798452, 46.6862577)
2015-11-06 17:14:55;15;21.082847974798717;(10.5798452, 46.6862577)
2015-11-18 17:14:50;15;20.01013075463024;(10.5798452, 46.6862577)
2015-11-30 17:14:55;15;15.812469287979688;(10.5798452, 46.6862577)
2015-12-12 17:14:49;15;17.57419382639589;(10.5798452, 46.6862577)
2015-12-24 17:14:54;15;16.881944121784077;(10.5798452, 46.6862577)
2016-07-15 17:14:50;15;19.030582121480794;(10.5798452, 46.6862577)
2016-09-13 17:14:53;15;17.073869661893703;(10.5798452, 46.6862577)
2016-09-25 17:14:54;15;19.67865190152954;(10.5798452, 46.6862577)
2016-10-07 17:14:54;15;17.92257885085581;(10.5798452, 46.6862577)
2016-10-19 17:14:54;15;18.3201598625282;(10.5798452, 46.6862577)
2016-10-31 17:14:54;15;18.65599032440002;(10.5798452, 46.6862577)
2016-11-12 17:14:54;15;16.518135481289615;(10.5798452, 46.6862577)
2016-11-24 17:14:54;15;21.904830470537984;(10.5798452, 46.6862577)
2016-12-06 17:14:53;15;16.77130905932903;(10.5798452, 46.6862577)
2016-12-18 17:14:53;15;16.77130905932903;(10.5798452, 46.6862577)
2016-12-30 17:14:52;15;15.081487034617924;(10.5798452, 46.6862577)
2017-01-11 17:14:51;15;14.423401692914137;(10.5798452, 46.6862577)
2017-03-24 17:14:50;15;21.926956675864847;(10.5798452, 46.6862577)
2017-03-30 17:14:07;15;20.14048476948117;(10.5798452, 46.6862577)
2017-04-05 17:14:51;15;18.706598529739672;(10.5798452, 46.6862577)
2017-04-11 17:14:07;15;20.957376190467922;(10.5798452, 46.6862577)
2017-04-17 17:14:51;15;14.453670713962946;(10.5798452, 46.6862577)
2017-04-23 17:14:08;15;14.098728987361026;(10.5798452, 46.6862577)
2017-04-29 17:14:52;15;16.787065556769846;(10.5798452, 46.6862577)
2017-05-05 17:14:09;15;16.633588655439922;(10.5798452, 46.6862577)
2017-09-08 17:14:53;15;16.977120431039243;(10.5798452, 46.6862577)
2017-09-14 17:14:16;15;23.0819870496218;(10.5798452, 46.6862577)
2017-09-20 17:14:54;15;21.935189332724466;(10.5798452, 46.6862577)
2017-10-08 17:14:16;15;13.651819517336344;(10.5798452, 46.6862577)
2017-10-14 17:14:54;15;14.081362540271847;(10.5798452, 46.6862577)
2017-10-20 17:14:16;15;14.081362540271847;(10.5798452, 46.6862577)
2017-10-26 17:14:54;15;14.190617230759997;(10.5798452, 46.6862577)
2017-11-01 17:14:16;15;12.502046832818595;(10.5798452, 46.6862577)
2017-11-07 17:14:54;15;14.655094221521644;(10.5798452, 46.6862577)
2017-11-13 17:14:16;15;14.655094221521644;(10.5798452, 46.6862577)
2018-06-23 17:15:12;15;17.519019342191505;(10.5798452, 46.6862577)
2018-08-22 17:15:16;15;26.723425660166118;(10.5798452, 46.6862577)
2018-08-28 17:14:22;15;16.350126590078638;(10.5798452, 46.6862577)
2018-09-03 17:15:17;15;16.926650109252865;(10.5798452, 46.6862577)
2018-09-09 17:14:22;15;15.89674414643946;(10.5798452, 46.6862577)
2018-09-15 17:15:17;15;15.949111248480726;(10.5798452, 46.6862577)
2018-09-21 17:14:22;15;20.12206078495432;(10.5798452, 46.6862577)
2018-10-09 17:15:17;15;20.969562301053813;(10.5798452, 46.6862577)
2018-10-15 17:14:23;15;18.322023765251615;(10.5798452, 46.6862577)
2018-10-21 17:15:18;15;12.85308217312826;(10.5798452, 46.6862577)
2018-10-27 17:14:23;15;22.446682606243204;(10.5798452, 46.6862577)
2019-09-10 17:15:23;15;29.075689167561702;(10.5798452, 46.6862577)
2019-09-16 17:14:29;15;24.726968214371325;(10.5798452, 46.6862577)
2020-10-22 17:15:30;15;18.09872425118761;(10.5798452, 46.6862577)
2020-10-28 17:14:36;15;18.09872425118761;(10.5798452, 46.6862577)
2020-11-03 17:15:30;15;18.05284497839806;(10.5798452, 46.6862577)
2020-11-09 17:14:35;15;17.508970944655765;(10.5798452, 46.6862577)
2020-11-15 17:15:30;15;17.908103110136206;(10.5798452, 46.6862577)
2020-11-21 17:14:35;15;14.846417341136938;(10.5798452, 46.6862577)
2020-11-27 17:15:29;15;15.190872278686216;(10.5798452, 46.6862577)
2021-06-13 17:14:36;15;28.80480328797197;(10.5798452, 46.6862577)
2021-06-19 17:15:31;15;29.23153832669802;(10.5798452, 46.6862577)
2021-06-25 17:14:36;15;18.78589627439665;(10.5798452, 46.6862577)
2021-07-01 17:15:31;15;20.353435620238656;(10.5798452, 46.6862577)
2021-07-07 17:14:37;15;18.78589627439665;(10.5798452, 46.6862577)
2021-10-11 17:14:41;15;21.035202450468642;(10.5798452, 46.6862577)
2021-10-17 17:15:36;15;19.319770933927085;(10.5798452, 46.6862577)
2021-10-23 17:14:42;15;17.442201311570624;(10.5798452, 46.6862577)
2021-10-29 17:15:36;15;15.63772870804822;(10.5798452, 46.6862577)
2022-06-26 17:15:37;15;21.484715650245054;(10.5798452, 46.6862577)
2022-07-08 17:15:38;15;18.70266094416729;(10.5798452, 46.6862577)
2022-09-06 17:15:42;15;20.028029651341587;(10.5798452, 46.6862577)
2022-09-18 17:15:41;15;15.16435980247224;(10.5798452, 46.6862577)
2022-09-30 17:15:42;15;20.651965129459597;(10.5798452, 46.6862577)
2022-10-12 17:15:42;15;18.63500722111039;(10.5798452, 46.6862577)
2022-10-24 17:15:42;15;22.16139895026402;(10.5798452, 46.6862577)
2022-11-05 17:15:42;15;21.72014526377906;(10.5798452, 46.6862577)
2015-10-20 17:06:54;117;21.727357926127244;(10.5798452, 46.6862577)
2015-11-01 17:06:54;117;21.082847974798717;(10.5798452, 46.6862577)
2015-11-25 17:06:53;117;20.574091324930237;(10.5798452, 46.6862577)
2015-12-07 17:06:53;117;16.632442881053205;(10.5798452, 46.6862577)
2015-12-19 17:06:53;117;20.77472061289567;(10.5798452, 46.6862577)
2016-01-12 17:06:52;117;19.427302222128645;(10.5798452, 46.6862577)
2016-06-28 17:06:40;117;23.08313806670593;(10.5798452, 46.6862577)
2016-09-08 17:06:43;117;22.70116907479858;(10.5798452, 46.6862577)
2016-09-20 17:06:44;117;17.92139942280021;(10.5798452, 46.6862577)
2016-09-26 17:06:02;117;19.029090292748883;(10.5798452, 46.6862577)
