"Date","Track_100m","Pred_100m","Track_200m","Pred_200m","Track_500m","Pred_500m","Track_50m","Pred_50m","Station"
"2017-07-28 17:14:13",15,0.171806536556558,15,0.162940467485821,15,0.100492274366585,15,0.166027115532172,"P2"
"2017-07-29 17:06:47",117,0.159741470877813,117,0.162772281100504,117,0.115594125515639,117,0.168465856625368,"P2"
"2017-08-02 05:26:58",168,0.193716443947208,168,0.256274649358729,168,0.108060260736119,168,0.192216611737275,"P2"
"2017-08-03 17:14:52",15,0.173061599173391,15,0.162617031725551,15,0.0932802350512195,15,0.161942776986541,"P2"
"2017-08-04 17:06:05",117,0.152696435086577,117,0.140817426364386,117,0.111891302347138,117,0.164073717149049,"P2"
"2017-08-08 05:25:59",168,0.182580897963329,168,0.245703316794074,168,0.0997154561325414,168,0.195245247597075,"P2"
"2017-08-09 17:14:14",15,0.186130555619437,15,0.253661474502839,15,0.0997154561325414,15,0.190285771412209,"P2"
"2017-08-10 17:06:48",117,0.193172250432741,117,0.25889342896492,117,0.0950803315219559,117,0.195482311471319,"P2"
"2017-08-14 05:26:58",168,0.161316570869365,168,0.202842482866012,168,0.0832548892263562,168,0.17829412208147,"P2"
"2017-08-15 17:14:52",15,0.187488641366043,15,0.227529546619325,15,0.0997154561325414,15,0.183218160046855,"P2"
"2017-08-16 17:06:05",117,0.164837207747122,117,0.165593249194577,117,0.100732311184782,117,0.175409445383495,"P2"
"2017-08-20 05:26:00",168,0.190323033606463,168,0.219762760106894,168,0.0997154561325414,168,0.20298738324021,"P2"
"2017-08-21 17:14:14",15,0.185374487602732,15,0.24015720367928,15,0.101479926484218,15,0.167674644888346,"P2"
"2017-08-22 17:06:48",117,0.163623553424656,117,0.17690136865365,117,0.096129323122406,117,0.161152302753591,"P2"
"2017-08-26 05:26:59",168,0.162609489911867,168,0.147026615483486,168,0.0829456632246027,168,0.160026721280791,"P2"
"2017-08-27 17:14:53",15,0.175566849392339,15,0.251817699876898,15,0.0856719999606002,15,0.167735188424165,"P2"
"2017-08-28 17:06:06",117,0.156608876879571,117,0.151654284144113,117,0.0951173525478988,117,0.150383119992909,"P2"
"2017-09-01 05:26:00",168,0.185257380843144,168,0.235792185002654,168,0.113199653973376,168,0.194558821669541,"P2"
"2017-09-02 17:14:15",15,0.179980173289891,15,0.23575888604634,15,0.124540099858967,15,0.207859412374062,"P2"
"2017-09-03 17:06:49",117,0.196291547167816,117,0.235113630761096,117,0.114352465034144,117,0.196169372155306,"P2"
"2017-09-07 05:26:59",168,0.173818443690903,168,0.150644813376229,168,0.14028276527732,168,0.179299477753316,"P2"
"2017-09-08 17:14:53",15,0.172429419089507,15,0.158652973147871,15,0.14231878107573,15,0.160986225583802,"P2"
"2017-09-09 17:06:06",117,0.176819001031954,117,0.155630782415777,117,0.137549431653709,117,0.177568540443651,"P2"
"2017-09-13 05:26:01",168,0.178081092255712,168,0.158513757768335,168,0.13569970430736,168,0.178883772102889,"P2"
"2017-09-14 17:14:16",15,0.226963856483525,15,0.249430139080521,15,0.160220616174308,15,0.203639503652437,"P2"
"2017-09-15 17:06:49",117,0.222433751885734,117,0.215255871625761,117,0.148534037840427,117,0.218259397340384,"P2"
"2017-09-19 05:27:00",168,0.195422025648007,168,0.213898431443834,168,0.142913746141632,168,0.184226441532808,"P2"
"2017-09-20 17:14:54",15,0.216475023458907,15,0.249430139080521,15,0.142833973869946,15,0.202920754730048,"P2"
"2017-09-21 17:06:07",117,0.226402779192993,117,0.244016054375738,117,0.147774824793275,117,0.21540497126258,"P2"
"2017-09-25 05:26:01",168,0.169543617613648,168,0.153828007055731,168,0.14028276527732,168,0.17118226428983,"P2"
"2017-09-26 17:14:16",15,0.222909189305595,15,0.244016054375738,15,0.142154533094479,15,0.213408480890815,"P2"
"2017-09-27 17:06:50",117,0.215902622008879,117,0.230988585957608,117,0.148534037840427,117,0.217250740314191,"P2"
"2017-10-01 05:27:00",168,0.226323815407398,168,0.246276779347958,168,0.145569159196282,168,0.216823106992617,"P2"
"2017-10-02 17:14:54",15,0.216475023458907,15,0.249430139080521,15,0.154174419755537,15,0.214174235291479,"P2"
