"Date","Track_100.x","Pred_100.x","Track_100.y","Pred_100.y","Track_20.x","Pred_20.x","Track_20.y","Pred_20.y","Track_200.x","Pred_200.x","Track_200.y","Pred_200.y","Track_50.x","Pred_50.x","Track_50.y","Pred_50.y","Track_500.x","Pred_500.x","Track_500.y","Pred_500.y","Station"
"2015-06-10 17:06:44",117,0.231923285626544,117,0.224844200602181,117,0.239494176262133,117,0.236113754523201,117,0.199122377530644,117,0.237879123745577,117,0.200024448759064,117,0.260503265258717,117,0.203676580820841,117,0.235628913872462,"M4"
"2015-06-15 17:14:51",15,0.233866706354988,15,0.229223953559163,15,0.208728456544807,15,0.246753066848499,15,0.231348871270769,15,0.248355907234323,15,0.239045546548533,15,0.270068249782157,15,0.241522507677353,15,0.238686408328778,"M4"
"2015-06-22 17:06:45",117,0.22776441364815,117,0.236776701936164,117,0.208994689061164,117,0.220184358331141,117,0.206587929483931,117,0.239764938293177,117,0.21650797993358,117,0.240972054902041,117,0.220938629523562,117,0.239162936960633,"M4"
"2015-06-27 17:14:52",15,0.249966440595388,15,0.227544510757138,15,0.200589882023233,15,0.228074762006222,15,0.241690787947637,15,0.246676464432298,15,0.235511523460362,15,0.261527957707607,15,0.230014930057393,15,0.237724461933277,"M4"
"2015-07-04 17:06:44",117,0.227298135258054,117,0.233641541288903,117,0.216362447159497,117,0.229432774641205,117,0.209933878657351,117,0.246676464432298,117,0.223755571401638,117,0.263711074715684,117,0.243138536793076,117,0.237724461933277,"M4"
"2015-07-09 17:14:51",15,0.249966440595388,15,0.235598171058563,15,0.200589882023233,15,0.209521745122264,15,0.242253177109585,15,0.239764938293177,15,0.235511523460362,15,0.247417932026018,15,0.237988484589182,15,0.239162936960633,"M4"
"2015-07-16 17:06:45",117,0.219953631172359,117,0.239348822063017,117,0.188694223703219,117,0.21237797171221,117,0.200862403176103,117,0.245225142969519,117,0.201103946860512,117,0.259755504999243,117,0.238603843628681,117,0.246557003577414,"M4"
"2015-07-20 05:26:37",168,0.217080963171604,168,0.240203449242436,168,0.194784960356827,168,0.181430618173081,168,0.1957980234655,168,0.246166982454744,168,0.192565193190623,168,0.219384723696394,168,0.225324397067771,168,0.241402755056227,"M4"
"2015-07-21 17:14:52",15,0.247685763622891,15,0.233251791531252,15,0.236149277984356,15,0.212667619568592,15,0.235670715199104,15,0.245225142969519,15,0.234758254509412,15,0.255706982810574,15,0.246898493698264,15,0.246557003577414,"M4"
"2015-07-28 17:06:46",117,0.227416040345043,117,0.30067554778102,117,0.234641934957671,117,0.180653424309568,117,0.193211167747009,117,0.27959474682971,117,0.245359688103069,117,0.223137236202824,117,0.218911097764283,117,0.255398968703812,"M4"
"2015-08-02 17:14:43",15,0.204061793959133,15,0.296258388791547,15,0.212741607974348,15,0.180653424309568,15,0.20431376742384,15,0.275847243946507,15,0.267351686339816,15,0.222788591055326,15,0.240738068585269,15,0.245824456423377,"M4"
"2015-08-14 17:14:54",15,0.209368632640051,15,0.300644685557863,15,0.224900834503945,15,0.182004570494875,15,0.216418882677612,15,0.248416180665204,15,0.284134200392509,15,0.227939941776028,15,0.262937975854784,15,0.225454897830965,"M4"
"2015-08-26 17:14:54",15,0.216164579553424,15,0.221711694436912,15,0.232233500267992,15,0.210147063496183,15,0.236981591230781,15,0.253432381118583,15,0.259092712815629,15,0.292718212311147,15,0.22128897711314,15,0.220922573760993,"M4"
"2015-09-07 17:14:55",15,0.209775712500311,15,0.206822833223419,15,0.232606388788807,15,0.198301255453749,15,0.221364051948246,15,0.239169677375505,15,0.243100462047246,15,0.268700013743251,15,0.20501513582595,15,0.209984316715994,"M4"
"2015-09-19 17:14:55",NA,NA,15,0.165335674004722,NA,NA,15,0.166283417606363,15,0.28598536365423,15,0.203491718364003,NA,NA,15,0.206430002634147,15,0.209101463220326,15,0.201189691418203,"M4"
"2016-05-27 05:26:23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168,0.204384585417971,NA,NA,"M4"
"2016-05-28 17:14:48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0.257359325416524,NA,NA,"M4"
"2016-06-04 17:06:38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,0.265856280027048,NA,NA,"M4"
