"Land_use";"RMSE";"MAE";"MSE";"AVE";"R2";"Spearman";"Pearson"
"Meadow";0,02984093956926;0,113886611242282;0,0175689146844795;-0,777173403973132;0,02984093956926;0,195175133245226;0,1727453025968
"Pasture";0,0509929707510836;0,083807341719599;0,00959403742290491;-0,0167428514844421;0,0509929707510836;0,253850807539046;0,225816232257744
