"Land_use";"RMSE";"MAE";"MSE";"AVE";"R2";"Spearman";"Pearson"
"Meadow";0,0298404804265252;0,109350756068864;0,015569597124476;-0,896384274896263;0,0298404804265252;0,186746203241632;0,172743973633019
"Pasture";0,00465556103802233;0,086682760127067;0,0105743302551155;-0,0631733490731827;0,00465556103802233;0,0780972783551677;0,0682316718102549
