"Station_obs";"RMSE";"MAE";"MSE";"AVE";"R2";"Spearman";"Pearson"
"B2";0,0302096047597652;0,0959354482965924;0,0125904976374496;-1,4331412833095;0,0302096047597652;0,202789882956781;0,173809104363854
"I1";0,0593290337640462;0,100891605203991;0,0140597811192699;-0,769924806857674;0,0593290337640462;0,2971720639342;0,243575519632097
"I3";0,0026092095589528;0,136584132823078;0,0237921240720046;-0,697845639336703;0,0026092095589528;0,17741459209202;0,0510804224625521
"P1";0,103295450457064;0,0856520837560499;0,00958362280590332;-0,239846782218081;0,103295450457064;0,327925160263716;0,321396095895802
"P2";0,0742552990389953;0,0821053935652888;0,00874089324966644;-0,132579889810084;0,0742552990389953;0,311741562471007;0,272498255111836
"P3";0,199416694111816;0,0843572733811615;0,0104732933983271;0,12208893750075;0,199416694111816;0,436250679740482;0,446560963488544
