"";"Station_N";"Depth";"footprint";"n";"RMSE";"MAE";"MSE";"AVE";"R2";"Spearman";"Pearson"
"1";"I1";"obs_02";"Pred_50m";83;0,118575142007851;0,100916626052942;0,0140600643021821;-0,769307852982662;0,0591137518654959;0,2971720639342;0,243133197785691
"2";"I1";"obs_02";"Pred_100m";83;0,127520723794995;0,11017985451769;0,0162615349971995;-1,04633925946072;0,0986931649534195;0,331538679530869;0,314154683163278
"3";"I1";"obs_02";"Pred_200m";104;0,101487334026244;0,0856823809742715;0,0102996789677544;-0,186464295597616;0,0855494231909652;0,333046157158567;0,292488330008165
"4";"I1";"obs_02";"Pred_500m";184;0,147866579550399;0,12719365095378;0,0218645253479345;-1,39365091443555;0,00682742847716562;0,186697020402649;0,0826282547145081
"5";"I1";"obs_05";"Pred_50m";83;0,112440287324186;0,0972106686268641;0,0126428182135455;-0,483747626653563;0,0519618731419902;0,294149441493337;0,227951471023967
"6";"I1";"obs_05";"Pred_100m";83;0,120014997569619;0,101731899897537;0,0144035996416358;-0,690391052261435;0,0823414722989471;0,314515705862016;0,28695203832513
"7";"I1";"obs_05";"Pred_200m";104;0,110469981734351;0,0878591589756571;0,0122036168643879;-0,384452902364512;0,00268830659135426;0,092276916109189;0,0518488822575209
"8";"I1";"obs_05";"Pred_500m";184;0,137233471967689;0,117383494186533;0,0188330258283066;-1,18354301011787;0,0155970805227315;0,218660301854894;0,124888272158484
