"","Date.x","Station.x","get_ts","get_map","Station"
"80",2020-10-27 05:26:15,"I1",0.149826436184282,0.27,"I1"
"81",2020-10-27 05:26:15,"I3",0.178547207064583,0.19,"I3"
"82",2020-10-27 05:26:15,"P1",0.197118484228445,0.23,"P1"
"83",2020-10-27 05:26:15,"P2",0.196696174784154,0.29,"P2"
"84",2020-10-27 05:26:15,"P3",0.206053559826155,0.3,"P3"
"85",2020-10-28 17:14:36,"B1",0.216408469693348,0.16,"B1"
"86",2020-10-28 17:14:36,"B2",0.184012775587781,0.14,"B2"
"87",2020-10-28 17:14:36,"B3",0.240465099601267,0.22,"B3"
"88",2020-10-28 17:14:36,"I1",0.158907199628581,0.17,"I1"
"89",2020-10-28 17:14:36,"I3",0.19280835815192,0.21,"I3"
"90",2020-10-28 17:14:36,"P1",0.19553937351679,0.21,"P1"
"91",2020-10-28 17:14:36,"P2",0.19096010613452,0.24,"P2"
"92",2020-10-28 17:14:36,"P3",0.201131041053468,0.23,"P3"
"93",2020-10-29 17:07:09,"B1",0.208359849225075,0.16,"B1"
"94",2020-10-29 17:07:09,"B2",0.156784214236218,0.17,"B2"
"95",2020-10-29 17:07:09,"B3",0.244222562684748,0.08,"B3"
"96",2020-10-29 17:07:09,"I1",0.157930435734689,0.22,"I1"
"97",2020-10-29 17:07:09,"I3",0.193808548676892,0.21,"I3"
"98",2020-10-29 17:07:09,"P1",0.198013837984004,0.24,"P1"
"99",2020-10-29 17:07:09,"P2",0.213158740470266,0.25,"P2"
"100",2020-10-29 17:07:09,"P3",0.185629567411525,0.17,"P3"
"101",2020-11-02 05:27:19,"B1",0.219252309199132,0.13,"B1"
"102",2020-11-02 05:27:19,"B2",0.146624092381354,0.14,"B2"
"103",2020-11-02 05:27:19,"B3",0.242592597889225,0.09,"B3"
"104",2020-11-02 05:27:19,"I1",0.146524274631577,0.18,"I1"
"105",2020-11-02 05:27:19,"I3",0.179257491327819,0.18,"I3"
"106",2020-11-02 05:27:19,"P1",0.210649156058507,0.22,"P1"
"107",2020-11-02 05:27:19,"P2",0.190666594586089,0.28,"P2"
"108",2020-11-02 05:27:19,"P3",0.169589543649438,0.21,"P3"
