;Pred_type;Depth;if (...) NULL;Footprint;n;;RMSE;;MAE;;MSE;;AVE;;R2;;Spearman;;Pearson;
1;Pred_20m_map;obs_02;S4;20;139;139;0,18;0,17;0,16;0,14;0,03;0,03;-0,65;-0,82;0,00;0,00;0,05;0,02;0,05;0,03
2;Pred_20;obs_02;S4;20;431;431;0,17;0,15;0,14;0,13;0,03;0,02;-0,30;-0,37;0,00;0,00;0,03;0,01;0,03;0,01
3;Pred_50;obs_02;S4;50;431;431;0,17;0,15;0,15;0,14;0,03;0,02;-0,33;-0,40;0,00;0,00;0,04;0,03;0,05;0,03
4;Pred_100;obs_02;S4;100;435;435;0,17;0,15;0,15;0,14;0,03;0,02;-0,35;-0,42;0,00;0,00;0,05;0,06;0,06;0,07
5;Pred_200;obs_02;S4;200;435;435;0,17;0,15;0,15;0,13;0,03;0,02;-0,34;-0,39;0,00;0,00;0,01;0,03;0,01;0,04
6;Pred_500;obs_02;S4;500;443;443;0,16;0,15;0,14;0,13;0,03;0,02;-0,26;-0,32;0,02;0,02;0,15;0,11;0,15;0,12
7;Pred_20m_map;obs_05;S4;20;;;;;;;;;;;;;;;;
8;Pred_20;obs_05;S4;20;;;;;;;;;;;;;;;;
9;Pred_50;obs_05;S4;50;;;;;;;;;;;;;;;;
10;Pred_100;obs_05;S4;100;;;;;;;;;;;;;;;;
11;Pred_200;obs_05;S4;200;;;;;;;;;;;;;;;;
12;Pred_500;obs_05;S4;500;;;;;;;;;;;;;;;;
