;Pred_type;Depth;if (...) NULL;Footprint;n;;RMSE;;MAE;;MSE;;AVE;;R2;;Spearman;;Pearson;
1;Pred_20m_map;obs_02;B3;20;160;160;0,07;0,15;0,06;0,13;0,00;0,02;-0,26;-1,38;0,01;0,00;-0,02;-0,07;0,10;-0,04
2;Pred_20;obs_02;B3;20;531;531;0,13;0,12;0,11;0,10;0,02;0,01;-1,53;0,07;0,04;0,08;0,15;0,27;0,21;0,28
3;Pred_50;obs_02;B3;50;531;531;0,13;0,13;0,11;0,11;0,02;0,02;-1,48;-0,15;0,02;0,03;-0,10;-0,14;-0,13;-0,18
4;Pred_100;obs_02;B3;100;531;531;0,11;0,13;0,10;0,11;0,01;0,02;-0,90;-0,14;0,00;0,02;-0,08;-0,18;-0,04;-0,15
5;Pred_20m_map;obs_05;B3;20;;;;;;;;;;;;;;;;
6;Pred_20;obs_05;B3;20;;;;;;;;;;;;;;;;
7;Pred_50;obs_05;B3;50;;;;;;;;;;;;;;;;
8;Pred_100;obs_05;B3;100;;;;;;;;;;;;;;;;
