;Pred_type;Depth;if (...) NULL;Footprint;n;;RMSE;;MAE;;MSE;;AVE;;R2;;Spearman;;Pearson;
1;Pred_20m_map;obs_02;I3;20;126;126;0,17;0,16;0,14;0,14;0,03;0,03;-1,06;-1,53;0,06;0,03;0,23;0,18;0,24;0,17
2;Pred_20;obs_02;I3;20;117;117;0,16;0,15;0,14;0,14;0,03;0,02;-0,82;-1,28;0,00;0,01;0,07;0,00;-0,04;-0,11
3;Pred_50;obs_02;I3;50;117;117;0,16;0,15;0,14;0,13;0,02;0,02;-0,73;-1,16;0,00;0,00;0,18;0,11;0,05;-0,02
4;Pred_100;obs_02;I3;100;132;132;0,18;0,17;0,16;0,15;0,03;0,03;-1,40;-2,03;0,04;0,07;-0,12;-0,18;-0,19;-0,26
5;Pred_200;obs_02;I3;200;132;132;0,15;0,14;0,13;0,12;0,02;0,02;-0,53;-0,83;0,02;0,01;0,27;0,21;0,15;0,09
6;Pred_500;obs_02;I3;500;184;184;0,15;0,14;0,14;0,13;0,02;0,02;-0,65;-0,92;0,02;0,01;0,23;0,19;0,15;0,09
7;Pred_20m_map;obs_05;I3;20;;;;;;;;;;;;;;;;
8;Pred_20;obs_05;I3;20;;;;;;;;;;;;;;;;
9;Pred_50;obs_05;I3;50;;;;;;;;;;;;;;;;
10;Pred_100;obs_05;I3;100;;;;;;;;;;;;;;;;
11;Pred_200;obs_05;I3;200;;;;;;;;;;;;;;;;
12;Pred_500;obs_05;I3;500;;;;;;;;;;;;;;;;
