;Pred_type;Depth;if (...) NULL;Footprint;n;;RMSE;;MAE;;MSE;;AVE;;R2;;Spearman;;Pearson;
1;Pred_20m_map;obs_02;M4;20;58;58;0,11;0,07;0,10;0,06;0,01;0,00;-0,14;-0,43;0,00;0,00;0,01;0,04;0,02;0,06
2;Pred_20;obs_02;M4;20;154;154;0,11;0,11;0,10;0,09;0,01;0,01;-0,15;-0,28;0,01;0,05;-0,07;-0,21;-0,09;-0,22
3;Pred_50;obs_02;M4;50;154;154;0,11;0,11;0,10;0,09;0,01;0,01;-0,17;-0,41;0,00;0,08;-0,09;-0,25;-0,05;-0,29
4;Pred_100;obs_02;M4;100;154;154;0,11;0,11;0,10;0,09;0,01;0,01;-0,20;-0,33;0,03;0,10;-0,15;-0,25;-0,19;-0,32
5;Pred_200;obs_02;M4;200;254;254;0,12;0,11;0,11;0,10;0,01;0,01;-0,23;-0,34;0,02;0,10;-0,11;-0,26;-0,13;-0,32
6;Pred_500;obs_02;M4;500;290;290;0,12;0,10;0,10;0,09;0,01;0,01;-0,16;-0,18;0,00;0,01;-0,03;-0,08;-0,06;-0,10
7;Pred_20m_map;obs_05;M4;20;;;;;;;;;;;;;;;;
8;Pred_20;obs_05;M4;20;;;;;;;;;;;;;;;;
9;Pred_50;obs_05;M4;50;;;;;;;;;;;;;;;;
10;Pred_100;obs_05;M4;100;;;;;;;;;;;;;;;;
11;Pred_200;obs_05;M4;200;;;;;;;;;;;;;;;;
12;Pred_500;obs_05;M4;500;;;;;;;;;;;;;;;;
