;(Pred_type);Depth;if (...) NULL;Footprint;n;;RMSE;;MAE;;MSE;;AVE;;R2;;Spearman;;Pearson;
1;Pred_500;obs_02;M5;500;2539;2733;0,11;0,09;0,10;0,08;0,01;0,01;-0,38;0,03;0,35;0,33;0,54;0,53;0,59;0,57
2;Pred_500;obs_05;M5;500;;;;;;;;;;;;;;;;
