;Pred_type;Depth;if (...) NULL;Footprint;n;;RMSE;;MAE;;MSE;;AVE;;R2;;Spearman;;Pearson;
1;Pred_20;obs_02;M1;20;201;202;0,12;0,12;0,10;0,10;0,01;0,01;-0,27;-0,50;0,01;0,11;-0,08;-0,32;-0,10;-0,33
2;Pred_500;obs_02;M1;500;234;235;0,10;0,09;0,09;0,08;0,01;0,01;0,03;0,02;0,12;0,04;0,37;0,27;0,34;0,21
3;Pred_20;obs_05;M1;20;;;;;;;;;;;;;;;;
4;Pred_500;obs_05;M1;500;;;;;;;;;;;;;;;;
