"Date","Track_100","Pred_100","Track_20","Pred_20","Track_200","Pred_200","Track_50","Pred_50","Station"
"2014-10-17 05:26:30",168,0.178942823569365,168,0.185158061809889,168,0.17019050478579,168,0.228000437080324,"B1"
"2014-11-10 05:26:16",168,0.178942823569365,168,0.185158061809889,168,0.17019050478579,168,0.228000437080324,"B1"
"2015-05-29 17:06:43",117,0.150804904970422,117,0.15308532748769,117,0.17514816314908,117,0.139400774267729,"B1"
"2015-06-02 05:26:31",168,0.192938552930646,168,0.221077741691578,168,0.186212439084496,168,0.188475461582199,"B1"
"2015-06-03 17:14:51",15,0.19924739988107,15,0.229165708285561,15,0.180947933765188,15,0.19488309059079,"B1"
"2015-06-10 17:06:44",117,0.192938552930646,117,0.220000711774911,117,0.158537180203289,117,0.18307088833281,"B1"
"2015-06-14 05:26:42",168,0.192938552930646,168,0.214336102141926,168,0.186212439084496,168,0.188475461582199,"B1"
"2015-06-15 17:14:51",15,0.19924739988107,15,0.212097620254463,15,0.180947933765188,15,0.19488309059079,"B1"
"2015-07-04 17:06:44",117,0.245208300998613,117,0.2199866908621,117,0.15929110308531,117,0.234344954214762,"B1"
"2015-07-08 05:26:42",168,0.245208300998613,168,0.214322081229115,168,0.180009944846675,168,0.237352730701116,"B1"
"2015-07-09 17:14:51",15,0.224489459237248,15,0.20783991882182,15,0.183261253668089,15,0.227374110937596,"B1"
"2015-07-16 17:06:45",117,0.227240248895576,117,0.193319555502162,117,0.16547574424364,117,0.216376902111725,"B1"
"2015-09-06 05:26:45",168,0.213673159906716,168,0.194149251661635,NA,NA,168,0.210500837665558,"B1"
"2015-09-07 17:14:55",15,0.190348526961149,15,0.193241546014984,NA,NA,15,0.206184513939641,"B1"
"2015-09-18 05:26:45",168,0.213673159906716,168,0.194149251661635,NA,NA,168,0.210500837665558,"B1"
"2015-09-19 17:14:55",15,0.185987146460264,15,0.177702847992883,NA,NA,15,0.190645815917539,"B1"
"2015-09-30 05:26:46",168,0.203383907028168,168,0.166796457584105,168,0.1889244358176,168,0.1758010454957,"B1"
"2015-10-01 17:14:55",15,0.185430392684437,15,0.16230969699716,15,0.159061098500222,15,0.176202641282927,"B1"
"2015-10-12 05:26:46",168,0.211052261915639,168,0.175655118537917,168,0.193206216564205,168,0.187668056324762,"B1"
"2015-10-13 17:14:55",15,0.195135836260684,15,0.185945017810292,15,0.183261253668089,15,0.204177880123238,"B1"
"2015-10-20 17:06:54",117,0.201812508161827,117,0.20844180174483,117,0.144758338628637,117,0.187354443880873,"B1"
"2015-10-24 05:26:40",168,0.191834319748847,168,0.194311599236574,168,0.157766551821558,168,0.19425287898186,"B1"
"2015-10-25 17:14:55",15,0.200185776442871,15,0.194353319619872,15,0.138443068071586,15,0.194560239001323,"B1"
"2015-11-01 17:06:54",117,0.182194729416052,117,0.186814141880599,117,0.15340381567289,117,0.171860457670233,"B1"
"2015-11-05 05:26:40",168,0.172057765333649,168,0.16948515246328,168,0.143186308626689,168,0.173487761825317,"B1"
"2015-11-06 17:14:55",15,0.200185776442871,15,0.194353319619872,15,0.141500614495636,15,0.194560239001323,"B1"
"2015-11-17 05:26:45",168,0.233092512164238,168,0.225939235027598,168,0.179290119367962,168,0.209008836382483,"B1"
"2015-11-18 17:14:50",15,0.243902532874449,15,0.239775826509796,15,0.181690788869213,15,0.231514890796812,"B1"
"2015-11-25 17:06:53",117,0.213944845367641,117,0.173193711741263,117,0.170283857874126,117,0.16385826972872,"B1"
"2015-11-29 05:26:44",168,0.211475989347547,168,0.165872499405959,168,0.164804256155476,168,0.175197867410354,"B1"
"2015-11-30 17:14:55",15,0.244139286615172,15,0.229374050790626,15,0.197971016055895,15,0.214828744898435,"B1"
"2015-12-07 17:06:53",117,0.210276464956742,117,0.160434732355552,117,0.168643895213412,117,0.160142365549309,"B1"
"2015-12-12 17:14:49",15,0.194739822524085,15,0.169416653072702,15,0.14102796857388,15,0.166203517245611,"B1"
"2015-12-19 17:06:53",117,0.203211674529241,117,0.17173649973196,117,0.146390989470015,117,0.163928835101975,"B1"
"2015-12-23 05:26:43",168,0.1966754562803,168,0.146644791426451,168,0.150003723088229,168,0.164435164223223,"B1"
"2015-12-24 17:14:54",15,0.211514041383109,15,0.180476742681983,15,0.163420705140375,15,0.177263606854892,"B1"
"2016-06-28 17:06:40",117,0.22475468427386,117,0.212069637856122,117,0.173350018878662,117,0.201326191209154,"B1"
"2016-09-08 17:06:43",117,0.212803868779679,117,0.206829304154383,117,0.199962346284647,117,0.228634318882694,"B1"
"2016-09-12 05:26:42",168,0.23848442746942,168,0.220216964156789,168,0.191451238367955,168,0.23483733858523,"B1"
"2016-09-13 17:14:53",15,0.196242253391138,15,0.18626597623533,15,0.169720789214973,15,0.195280477522724,"B1"
"2016-09-20 17:06:44",117,0.202354139070855,117,0.200725980204684,117,0.179156089242267,117,0.20499912424237,"B1"
"2016-10-07 17:14:54",15,0.195574651760092,15,0.21279381755985,15,0.184644937643507,15,0.186660624252213,"B1"
"2016-10-14 17:06:44",117,0.255005783079677,117,0.236106689671526,117,0.176779562590604,117,0.225860965938774,"B1"
"2016-10-18 05:26:43",168,0.24742076649941,168,0.18902666296755,168,0.170154300089354,168,0.218763102843784,"B1"
"2016-10-19 17:14:54",15,0.23958202400203,15,0.179376526694863,15,0.177637456947586,15,0.201336401194121,"B1"
"2016-10-26 17:06:44",117,0.214847379572129,117,0.212260633962721,117,0.16072593221317,117,0.20495944474479,"B1"
