"Date","Track_200","Pred_200","Track_500","Pred_500","Station"
"2017-04-12 17:06:41",NA,NA,117,0.169068886508634,"S2"
"2017-04-16 05:26:40",NA,NA,168,0.124252256017522,"S2"
"2017-04-17 17:14:51",NA,NA,15,0.131334470235527,"S2"
"2017-04-18 17:05:59",NA,NA,117,0.128810560589432,"S2"
"2017-04-22 05:25:56",NA,NA,168,0.130368866215725,"S2"
"2017-05-10 05:26:42",168,0.149504606217467,168,0.136565130957246,"S2"
"2017-05-11 17:14:53",15,0.152050907083758,15,0.130029833702769,"S2"
"2017-05-12 17:06:00",117,0.155973182773133,117,0.145592742447624,"S2"
"2017-05-16 05:26:03",168,0.160010131524527,168,0.155502190003499,"S2"
"2017-05-17 17:14:09",15,0.168193056144241,15,0.149515018136999,"S2"
"2017-05-18 17:06:43",117,0.140275573834193,117,0.125147030907752,"S2"
"2017-05-22 05:26:42",168,0.126136598909502,168,0.122072217580829,"S2"
"2017-05-23 17:14:47",15,0.14205402765044,15,0.132522453535216,"S2"
"2017-05-24 17:06:00",117,0.215971425167743,117,0.196967809603609,"S2"
"2017-05-28 05:26:03",168,0.171122058014824,168,0.177466762255281,"S2"
"2017-05-29 17:14:10",15,0.170633971570882,15,0.168977498148929,"S2"
"2017-05-30 17:06:44",117,0.192748210104549,117,0.181535336701429,"S2"
"2017-06-21 05:25:56",168,0.16191046809204,168,0.181045544555001,"S2"
"2017-06-22 17:14:11",15,0.184262240424835,15,0.149697181729912,"S2"
"2017-06-23 17:06:45",117,0.183840079952357,117,0.149697181729912,"S2"
"2017-06-27 05:26:30",168,0.196985972052841,168,0.184797386079084,"S2"
"2017-06-28 17:14:50",15,0.229610709708597,15,0.177260996272515,"S2"
"2017-06-29 17:06:02",117,0.218206591403316,117,0.173858874139396,"S2"
"2017-07-03 05:25:57",168,0.212932286422423,168,0.20157701931696,"S2"
"2017-09-07 05:26:34",NA,NA,168,0.188522440959044,"S2"
"2017-09-08 17:14:53",NA,NA,15,0.156400367247454,"S2"
"2017-09-09 17:06:06",NA,NA,117,0.164876797802432,"S2"
"2017-09-13 05:26:01",NA,NA,168,0.167191461380516,"S2"
"2017-09-14 17:14:16",NA,NA,15,0.180755614851403,"S2"
"2017-09-15 17:06:49",NA,NA,117,0.166234810437415,"S2"
"2017-09-19 05:26:35",NA,NA,168,0.191575538730598,"S2"
"2017-09-20 17:14:54",NA,NA,15,0.172490974902457,"S2"
"2017-09-21 17:06:07",NA,NA,117,0.164796450106493,"S2"
"2017-09-25 05:26:01",NA,NA,168,0.158591039756809,"S2"
"2017-09-26 17:14:16",NA,NA,15,0.157740000920351,"S2"
"2017-09-27 17:06:50",NA,NA,117,0.182746627806477,"S2"
