"Date","Track_100","Pred_100","Track_20","Pred_20","Track_50","Pred_50","Station"
"2015-05-29 17:06:43",117,0.212557398697949,117,0.240744811707929,117,0.265095914739071,"B3"
"2015-06-02 05:26:31",168,0.230935024319097,168,0.217395634183642,168,0.262383657424827,"B3"
"2015-06-03 17:14:51",15,0.199106005369882,15,0.204077231331666,15,0.202050123425673,"B3"
"2015-06-10 17:06:44",117,0.217402784935332,117,0.213480792163636,117,0.237542003767171,"B3"
"2015-06-14 05:26:42",168,0.20704875598699,168,0.235968953511468,168,0.229808757588633,"B3"
"2015-06-15 17:14:51",15,0.215450863421844,15,0.214257986027149,15,0.236341119478807,"B3"
"2015-06-22 17:06:45",117,0.202125186010426,117,0.231506667763256,117,0.249802474103833,"B3"
"2015-06-26 05:26:42",168,0.182360551369134,168,0.201849973682444,168,0.210240224297,"B3"
"2015-06-27 17:14:52",15,0.182043981285243,15,0.244051742711974,15,0.225634942563248,"B3"
"2015-07-04 17:06:44",117,0.182360551369134,117,0.214388654405217,117,0.210240224297,"B3"
"2015-07-08 05:26:42",168,0.184513143567596,168,0.252459964552051,168,0.224485122412713,"B3"
"2015-07-09 17:14:51",15,0.19948957211841,15,0.231506667763256,15,0.252866859395233,"B3"
"2015-07-16 17:06:45",117,0.187076972120555,117,0.214304659768423,117,0.229379182469263,"B3"
"2015-07-20 05:26:37",168,0.173715543817809,168,0.242371341325211,168,0.224978384978436,"B3"
"2015-07-21 17:14:52",15,0.19448284918312,15,0.2368618471776,15,0.257098393402328,"B3"
"2015-07-28 17:06:46",117,0.182289410214217,117,0.221859702517048,117,0.232239259190449,"B3"
"2015-08-01 05:26:43",168,0.17391017392221,168,0.242613387630827,168,0.221696620130457,"B3"
"2015-08-02 17:14:43",15,0.176062766120672,15,0.250428484268136,15,0.221923190465324,"B3"
"2015-08-13 05:26:44",168,0.195359750409323,168,0.212213375692378,168,0.227477796974076,"B3"
"2015-08-14 17:14:54",15,0.173399520889435,15,0.196790010350673,15,0.194169708214249,"B3"
"2015-08-25 05:26:45",168,0.204727969384251,168,0.200410634100529,168,0.204196770279893,"B3"
"2015-08-26 17:14:54",15,0.204727969384251,15,0.241485424317741,15,0.218883391131761,"B3"
"2015-09-06 05:26:45",168,0.230514788077041,168,0.221447527892157,168,0.221608193588146,"B3"
"2015-09-07 17:14:55",15,0.236484788453345,15,0.232459450252751,15,0.221032200019961,"B3"
"2015-09-18 05:26:45",168,0.20037564221473,168,0.191289321028653,168,0.188461567821722,"B3"
"2015-09-19 17:14:55",15,0.236484788453345,15,0.232459450252751,15,0.221032200019961,"B3"
"2015-09-30 05:26:46",168,0.200652506152927,168,0.226816065407651,168,0.222716957439611,"B3"
"2015-10-01 17:14:55",15,0.206396026062155,15,0.222330297348387,15,0.218731417949754,"B3"
"2015-10-12 05:26:46",168,0.192329465106284,168,0.226400359757224,168,0.220990397562668,"B3"
"2015-10-13 17:14:55",15,0.18604641502904,15,0.196203656388,15,0.185293023281035,"B3"
"2015-10-20 17:06:54",117,0.182875754809727,117,0.275152848510514,117,0.183275783696223,"B3"
"2015-10-24 05:26:40",168,0.210834066097682,168,0.283396194229685,168,0.200561426950006,"B3"
"2015-10-25 17:14:55",15,0.216804066473986,15,0.284288834131814,15,0.200477506224939,"B3"
"2015-11-01 17:06:54",117,0.216254002577544,117,0.279795899987389,117,0.185186965073376,"B3"
"2015-11-05 05:26:40",168,0.210834066097682,168,0.283396194229685,168,0.200561426950006,"B3"
"2015-11-06 17:14:55",15,0.217681551059321,15,0.28226134812484,15,0.201354990810274,"B3"
"2015-11-17 05:26:45",168,0.210834066097682,168,0.278718898080397,168,0.200477506224939,"B3"
"2015-11-18 17:14:50",15,0.208564023592951,15,0.265531103118173,15,0.180123541390828,"B3"
"2015-11-25 17:06:53",117,0.206412654475504,117,0.273322358753073,117,0.193380739510191,"B3"
"2015-11-29 05:26:44",168,0.184985133522138,168,0.256084069025412,168,0.185140898365072,"B3"
"2015-11-30 17:14:55",15,0.192089084011006,15,0.242665224052365,15,0.179091765321547,"B3"
"2015-12-07 17:06:53",117,0.191769337731124,117,0.261801642152377,117,0.194775117243711,"B3"
"2015-12-12 17:14:49",15,0.188123572425686,15,0.245374544032388,15,0.193885239216496,"B3"
"2015-12-19 17:06:53",117,0.17650331795296,117,0.238317698030763,117,0.187804953842069,"B3"
"2015-12-23 05:26:43",168,0.182115808853084,168,0.266207883067683,168,0.1931000522699,"B3"
"2015-12-24 17:14:54",15,0.188123572425686,15,0.244944512754383,15,0.193455207938491,"B3"
"2016-05-27 05:26:23",168,0.190614170213816,168,0.267777815133891,168,0.266961206399552,"B3"
"2016-05-28 17:14:48",15,0.190614170213816,15,0.26968480878821,15,0.267043824486067,"B3"
"2016-06-04 17:06:38",117,0.189328165144912,117,0.279758911945183,117,0.234123686609388,"B3"
"2016-06-08 05:26:38",168,0.184885608170839,168,0.280806962960732,168,0.254662513494782,"B3"
"2016-06-09 17:14:49",15,0.195213537805725,15,0.295586906200656,15,0.256090772679279,"B3"
"2016-06-28 17:06:40",117,0.185894752452359,117,0.246195870951679,117,0.199832690556254,"B3"
"2016-07-14 05:26:39",168,0.173097290299687,168,0.240449699731036,168,0.204771861309318,"B3"
"2016-07-15 17:14:50",15,0.165583836436181,15,0.279264750613277,15,0.235147128089541,"B3"
"2016-07-22 17:06:41",117,0.179730891359965,117,0.28004194447679,117,0.234123686609388,"B3"
"2016-07-26 05:26:40",168,0.171403982039075,168,0.277554264672012,168,0.252213173475126,"B3"
