"Date","Track_100","Pred_100","Track_20","Pred_20","Track_200","Pred_200","Track_50","Pred_50","Track_500","Pred_500","Station"
"2015-06-10 17:06:44",117,0.265828222849284,117,0.240471884605412,117,0.284472091455034,117,0.279019269951458,NA,NA,"NEPAS"
"2015-06-17 16:58:22",44,0.298922823542604,44,0.233552043520438,44,0.291961084187576,44,0.24945579914481,NA,NA,"NEPAS"
"2015-06-22 17:06:45",117,0.297023844190243,117,0.249211866800119,117,0.293498283377419,117,0.229649421116171,NA,NA,"NEPAS"
"2015-06-29 16:58:23",44,0.277496161111354,44,0.249211866800119,44,0.271272310124514,44,0.229649421116171,NA,NA,"NEPAS"
"2015-07-03 05:18:21",95,0.350144515800818,95,0.23987148244797,95,0.340770253676803,95,0.318113860786798,NA,NA,"NEPAS"
"2015-07-04 17:06:44",117,0.34137450383603,117,0.232191332557762,117,0.317056330550129,117,0.269980835446864,NA,NA,"NEPAS"
"2015-07-11 16:58:33",44,0.295596159719586,44,0.241678000524597,44,0.289372308732745,44,0.242999421199617,NA,NA,"NEPAS"
"2015-08-21 17:06:27",117,0.28885834579364,117,0.244328647831613,117,0.308979855070401,117,0.234602555337528,117,0.227785503442322,"NEPAS"
"2015-08-28 16:58:25",44,0.269744379367708,44,0.264704031009738,44,0.283289150408489,44,0.236417334475383,44,0.220180395381678,"NEPAS"
"2015-09-01 05:18:24",95,0.294622966698397,95,0.269225856098327,95,0.307549457052721,95,0.238966766926323,95,0.226847909613287,"NEPAS"
"2015-09-02 17:06:28",117,0.241387239718713,117,0.236988269679276,117,0.234072111970186,117,0.263722433243441,117,0.249304330379232,"NEPAS"
"2015-09-09 16:58:25",44,0.235131796157848,44,0.23572405144281,44,0.201954718438738,44,0.228671441202516,44,0.201087414583745,"NEPAS"
"2015-09-13 05:18:24",95,0.249566456927038,95,0.228879665954,95,0.204299826625598,95,0.241528216100821,95,0.227924563434624,"NEPAS"
"2015-09-14 17:06:28",117,0.259049646535505,117,0.23716021800165,117,0.267440253819205,117,0.268598202417296,117,0.257923773946652,"NEPAS"
"2015-09-21 16:58:25",44,0.258538471483143,44,0.22312216474957,44,0.210964435266223,44,0.234629573225961,44,0.218055375122886,"NEPAS"
"2015-09-26 17:06:28",117,0.24657897657995,117,0.227033327277343,117,0.214053841998665,117,0.238540735753734,117,0.209494088130357,"NEPAS"
"2015-10-20 17:06:54",117,0.253556291140884,117,0.182896540770972,117,0.234399012157363,117,0.184752877439626,117,0.191119554552535,"NEPAS"
"2015-10-24 05:26:40",168,0.250276494704116,168,0.194058529991142,168,0.228564707819811,168,0.204591403891863,168,0.197497024187952,"NEPAS"
"2015-10-27 16:58:26",44,0.268182913945,44,0.190319016571369,44,0.22324787457957,44,0.188554801169539,44,0.187749938296525,"NEPAS"
"2015-10-31 05:18:25",95,0.218575870966691,95,0.182411502620506,95,0.225488485977607,95,0.182411502620506,95,0.211675766975052,"NEPAS"
"2015-11-01 17:06:54",117,0.230021545882862,117,0.193857177536677,117,0.223432341111505,117,0.185180640304609,117,0.207707063653716,"NEPAS"
"2015-11-05 05:26:40",168,0.193895447378755,168,0.186550032749213,168,0.201673459711129,168,0.186550032749213,168,0.194043724058253,"NEPAS"
"2015-11-12 05:18:08",95,0.203322392801234,95,0.182188510697253,95,0.197792079616487,95,0.187065834127024,95,0.177146880014313,"NEPAS"
"2015-11-17 05:26:20",168,0.203537389723368,168,0.185790294287002,168,0.196252149498112,168,0.188121950908886,168,0.182873749156906,"NEPAS"
"2015-11-20 16:58:36",44,0.168591892752747,44,0.152146610204032,44,0.170942350525657,44,0.148347396401736,44,0.165996868134362,"NEPAS"
"2015-11-24 05:18:08",95,0.202741724522467,95,0.184994629086101,95,0.193972147610456,95,0.187326285707986,95,0.18279113107039,"NEPAS"
"2015-11-25 17:06:53",117,0.174072822249906,117,0.150219249056265,117,0.174918129613008,117,0.149012360370075,117,0.167530150805891,"NEPAS"
"2015-11-29 05:26:19",168,0.169452013461995,168,0.150219249056265,168,0.165909228260106,168,0.157688897602143,168,0.170288064711318,"NEPAS"
"2015-12-02 16:58:25",44,0.190152740765857,44,0.152146610204032,44,0.172910803789677,44,0.148347396401736,44,0.196266876885037,"NEPAS"
"2016-05-27 05:26:23",168,0.237783845913403,168,0.16150938697195,168,0.209452933948232,168,0.176061770764936,168,0.311305256163613,"NEPAS"
"2016-05-30 16:58:27",44,0.283893184679966,44,0.233410923088085,44,0.253726368317279,44,0.251663261230678,44,0.333517379388446,"NEPAS"
"2016-06-03 05:18:28",95,0.260611802864024,95,0.163073035225981,95,0.219111505029675,95,0.177625419018967,95,0.205607302890504,"NEPAS"
"2016-06-04 17:06:38",117,0.228660467592797,117,0.188228112302965,117,0.196355907796294,117,0.181090366738055,117,0.182222454350308,"NEPAS"
"2016-06-08 05:26:38",168,0.237783845913403,168,0.16150938697195,168,0.209452933948232,168,0.176061770764936,168,0.205930108610991,"NEPAS"
"2016-06-11 16:58:27",44,0.283893184679966,44,0.233410923088085,44,0.253726368317279,44,0.251663261230678,44,0.230543498772949,"NEPAS"
"2016-06-15 05:18:29",95,0.232029876984443,95,0.15575541804299,95,0.192071565490958,95,0.170307801835976,95,0.200547673356525,"NEPAS"
"2016-09-07 05:18:33",95,0.225556557175568,95,0.204477707528454,95,0.272196756335789,95,0.193905662905437,95,0.250817370391734,"NEPAS"
"2016-09-08 17:06:43",117,0.211094505870512,117,0.197774154746119,117,0.261214991415144,117,0.187202110123101,117,0.258342894425538,"NEPAS"
